file_name,step_name,success,tokens,latency_ms,data_keys,validation_issues,error
Custom.MEXX.Report.ZEN.DischargeSummary8.cls.pdf,cross_validator,true,460,18532,validation_summary | parser_note,0,
Custom.MEXX.Report.ZEN.DischargeSummary9.cls.pdf,,true,2829,18935,document_type | sections_identified | confidence | extraction_strategy,0,
Custom.MEXX.Report.ZEN.DischargeSummary9.cls.pdf,demographics_extractor,true,2910,18277,name | mrn | age | gender | admission_date | discharge_date | confidence_notes | sources,0,
Custom.MEXX.Report.ZEN.DischargeSummary9.cls.pdf,risk_scores_extractor,true,2997,18320,fall_risk | dvt_risk | pressure_ulcer_risk | aspiration_risk | ews_score | gcs | validation_notes,0,
Custom.MEXX.Report.ZEN.DischargeSummary9.cls.pdf,,true,2935,14585,bp | pulse | temperature | resp_rate | spo2 | pain_score | grbs | abnormal_flags,0,
Custom.MEXX.Report.ZEN.DischargeSummary9.cls.pdf,,true,2685,7289,functional_status | overall_assistance_needs | mobility_notes,0,
Custom.MEXX.Report.ZEN.DischargeSummary9.cls.pdf,,true,3484,59895,diagnosis | allergies | medications | investigations | nursing_needs,0,
Custom.MEXX.Report.ZEN.DischargeSummary9.cls.pdf,cross_validator,true,470,18750,validation_summary | parser_note,0,
Custom.MEXX.Report.ZEN.DischargeSummary10.cls.pdf,,true,2839,19105,document_type | sections_identified | confidence | extraction_strategy,0,
Custom.MEXX.Report.ZEN.DischargeSummary10.cls.pdf,demographics_extractor,true,2903,16447,name | mrn | age | gender | admission_date | discharge_date | confidence_notes | sources,0,
Custom.MEXX.Report.ZEN.DischargeSummary10.cls.pdf,risk_scores_extractor,true,3036,19970,fall_risk | dvt_risk | pressure_ulcer_risk | aspiration_risk | ews_score | gcs | validation_notes,0,
Custom.MEXX.Report.ZEN.DischargeSummary10.cls.pdf,,true,2924,13538,bp | pulse | temperature | resp_rate | spo2 | pain_score | grbs | abnormal_flags,0,
Custom.MEXX.Report.ZEN.DischargeSummary10.cls.pdf,,true,2702,7915,functional_status | overall_assistance_needs | mobility_notes,0,
Custom.MEXX.Report.ZEN.DischargeSummary10.cls.pdf,,true,2726,12992,diagnosis | allergies | medications | investigations | nursing_needs,0,
Custom.MEXX.Report.ZEN.DischargeSummary10.cls.pdf,cross_validator,true,469,19346,validation_summary | parser_note,0,
Custom.MEXX.Report.ZEN.DischargeSummary11.cls.pdf,,true,3070,18704,document_type | sections_identified | confidence | extraction_strategy,0,
Custom.MEXX.Report.ZEN.DischargeSummary11.cls.pdf,demographics_extractor,true,3236,22673,name | mrn | age | gender | admission_date | discharge_date | confidence_notes | sources,0,
Custom.MEXX.Report.ZEN.DischargeSummary11.cls.pdf,risk_scores_extractor,true,3235,18882,fall_risk | dvt_risk | pressure_ulcer_risk | aspiration_risk | ews_score | gcs | validation_notes,0,
Custom.MEXX.Report.ZEN.DischargeSummary11.cls.pdf,,true,3166,16047,bp | pulse | temperature | resp_rate | spo2 | pain_score | grbs | abnormal_flags,0,
Custom.MEXX.Report.ZEN.DischargeSummary11.cls.pdf,,true,2924,6872,functional_status | overall_assistance_needs | mobility_notes,0,
Custom.MEXX.Report.ZEN.DischargeSummary11.cls.pdf,,true,2997,14828,diagnosis | allergies | medications | investigations | nursing_needs,0,
Custom.MEXX.Report.ZEN.DischargeSummary11.cls.pdf,cross_validator,true,469,19057,validation_summary | parser_note,0,
Custom.MEXX.Report.ZEN.DischargeSummary12.cls.pdf,,true,3164,21924,document_type | sections_identified | confidence | extraction_strategy,0,
Custom.MEXX.Report.ZEN.DischargeSummary12.cls.pdf,demographics_extractor,true,3143,13872,name | mrn | age | gender | admission_date | discharge_date | confidence_notes | sources,0,
Custom.MEXX.Report.ZEN.DischargeSummary12.cls.pdf,risk_scores_extractor,true,3351,23363,fall_risk | dvt_risk | pressure_ulcer_risk | aspiration_risk | ews_score | gcs | validation_notes,0,
Custom.MEXX.Report.ZEN.DischargeSummary12.cls.pdf,,true,3247,17313,bp | pulse | temperature | resp_rate | spo2 | pain_score | grbs | abnormal_flags,0,
Custom.MEXX.Report.ZEN.DischargeSummary12.cls.pdf,,true,2994,8700,functional_status | overall_assistance_needs | mobility_notes,0,
Custom.MEXX.Report.ZEN.DischargeSummary12.cls.pdf,,true,3532,45030,diagnosis | allergies | medications | investigations | nursing_needs,0,
Custom.MEXX.Report.ZEN.DischargeSummary12.cls.pdf,cross_validator,true,455,18154,validation_summary | parser_note,0,
Custom.MEXX.Report.ZEN.DischargeSummary13.cls.pdf,,true,2948,18889,document_type | sections_identified | confidence | extraction_strategy,0,
Custom.MEXX.Report.ZEN.DischargeSummary13.cls.pdf,demographics_extractor,true,3009,16214,name | mrn | age | gender | admission_date | discharge_date | confidence_notes | sources,0,
Custom.MEXX.Report.ZEN.DischargeSummary13.cls.pdf,risk_scores_extractor,true,3109,18954,fall_risk | dvt_risk | pressure_ulcer_risk | aspiration_risk | ews_score | gcs | validation_notes,0,
Custom.MEXX.Report.ZEN.DischargeSummary13.cls.pdf,,true,3076,18848,bp | pulse | temperature | resp_rate | spo2 | pain_score | grbs | abnormal_flags,0,
Custom.MEXX.Report.ZEN.DischargeSummary13.cls.pdf,,true,2793,9067,functional_status | overall_assistance_needs | mobility_notes,0,
Custom.MEXX.Report.ZEN.DischargeSummary13.cls.pdf,,true,2897,16639,diagnosis | allergies | medications | investigations | nursing_needs,0,
Custom.MEXX.Report.ZEN.DischargeSummary13.cls.pdf,cross_validator,true,474,19298,validation_summary | parser_note,0,
Custom.MEXX.Report.ZEN.DischargeSummary14.cls.pdf,,true,2972,18416,document_type | sections_identified | confidence | extraction_strategy,0,
Custom.MEXX.Report.ZEN.DischargeSummary14.cls.pdf,demographics_extractor,true,3054,17493,name | mrn | age | gender | admission_date | discharge_date | confidence_notes | sources,0,
Custom.MEXX.Report.ZEN.DischargeSummary14.cls.pdf,risk_scores_extractor,true,3181,20589,fall_risk | dvt_risk | pressure_ulcer_risk | aspiration_risk | ews_score | gcs | validation_notes,0,
Custom.MEXX.Report.ZEN.DischargeSummary14.cls.pdf,,true,3102,15335,bp | pulse | temperature | resp_rate | spo2 | pain_score | grbs | abnormal_flags,0,
Custom.MEXX.Report.ZEN.DischargeSummary14.cls.pdf,,true,2840,8055,functional_status | overall_assistance_needs | mobility_notes,0,
Custom.MEXX.Report.ZEN.DischargeSummary14.cls.pdf,,true,2911,16142,diagnosis | allergies | medications | investigations | nursing_needs,0,
Custom.MEXX.Report.ZEN.DischargeSummary14.cls.pdf,cross_validator,true,468,19132,validation_summary | parser_note,0,
Custom.MEXX.Report.ZEN.DischargeSummary15.cls.pdf,,true,3280,20229,document_type | sections_identified | confidence | extraction_strategy,0,
Custom.MEXX.Report.ZEN.DischargeSummary15.cls.pdf,demographics_extractor,true,3388,20203,name | mrn | age | gender | admission_date | discharge_date | confidence_notes | sources,0,
Custom.MEXX.Report.ZEN.DischargeSummary15.cls.pdf,risk_scores_extractor,true,3468,20605,fall_risk | dvt_risk | pressure_ulcer_risk | aspiration_risk | ews_score | gcs | validation_notes,0,
Custom.MEXX.Report.ZEN.DischargeSummary15.cls.pdf,,true,3386,15716,bp | pulse | temperature | resp_rate | spo2 | pain_score | grbs | abnormal_flags,0,
Custom.MEXX.Report.ZEN.DischargeSummary15.cls.pdf,,true,3148,9477,functional_status | overall_assistance_needs | mobility_notes,0,
Custom.MEXX.Report.ZEN.DischargeSummary15.cls.pdf,,false,0,0,,0,Unterminated string in JSON at position 2616 (line 135 column 28)
Custom.MEXX.Report.ZEN.DischargeSummary15.cls.pdf,cross_validator,true,401,14426,validation_summary | parser_note,0,
Custom.MEXX.Report.ZEN.DischargeSummary16.cls.pdf,,true,2695,40519,document_type | sections_identified | confidence | extraction_strategy,0,
Custom.MEXX.Report.ZEN.DischargeSummary16.cls.pdf,demographics_extractor,true,2387,14999,name | mrn | age | gender | admission_date | discharge_date | confidence_notes | sources,0,
Custom.MEXX.Report.ZEN.DischargeSummary16.cls.pdf,risk_scores_extractor,true,2496,17046,fall_risk | dvt_risk | pressure_ulcer_risk | aspiration_risk | ews_score | gcs | validation_notes,0,
Custom.MEXX.Report.ZEN.DischargeSummary16.cls.pdf,,true,2454,14803,bp | pulse | temperature | resp_rate | spo2 | pain_score | grbs | abnormal_flags,0,
Custom.MEXX.Report.ZEN.DischargeSummary16.cls.pdf,,true,2189,6323,functional_status | overall_assistance_needs | mobility_notes,0,
Custom.MEXX.Report.ZEN.DischargeSummary16.cls.pdf,,true,2374,21050,diagnosis | allergies | medications | investigations | nursing_needs,0,
Custom.MEXX.Report.ZEN.DischargeSummary16.cls.pdf,cross_validator,true,372,12957,validation_summary | parser_note,0,
